Date,Year,Month,Month_Name,Quarter,Fiscal_Year,Month_Index
2019-05-01,2019,5,May 2019,Q2,FY19/20,24233
2019-06-01,2019,6,Jun 2019,Q2,FY19/20,24234
2019-07-01,2019,7,Jul 2019,Q3,FY19/20,24235
2019-08-01,2019,8,Aug 2019,Q3,FY19/20,24236
2019-09-01,2019,9,Sep 2019,Q3,FY19/20,24237
2019-10-01,2019,10,Oct 2019,Q4,FY19/20,24238
2019-11-01,2019,11,Nov 2019,Q4,FY19/20,24239
2019-12-01,2019,12,Dec 2019,Q4,FY19/20,24240
2020-01-01,2020,1,Jan 2020,Q1,FY19/20,24241
2020-02-01,2020,2,Feb 2020,Q1,FY19/20,24242
2020-03-01,2020,3,Mar 2020,Q1,FY19/20,24243
2020-04-01,2020,4,Apr 2020,Q2,FY19/20,24244
2020-05-01,2020,5,May 2020,Q2,FY20/21,24245
2020-06-01,2020,6,Jun 2020,Q2,FY20/21,24246
2020-07-01,2020,7,Jul 2020,Q3,FY20/21,24247
2020-08-01,2020,8,Aug 2020,Q3,FY20/21,24248
2020-09-01,2020,9,Sep 2020,Q3,FY20/21,24249
2020-10-01,2020,10,Oct 2020,Q4,FY20/21,24250
2020-11-01,2020,11,Nov 2020,Q4,FY20/21,24251
2020-12-01,2020,12,Dec 2020,Q4,FY20/21,24252
2021-01-01,2021,1,Jan 2021,Q1,FY20/21,24253
2021-02-01,2021,2,Feb 2021,Q1,FY20/21,24254
2021-03-01,2021,3,Mar 2021,Q1,FY20/21,24255
2021-04-01,2021,4,Apr 2021,Q2,FY20/21,24256
2021-05-01,2021,5,May 2021,Q2,FY21/22,24257
2021-06-01,2021,6,Jun 2021,Q2,FY21/22,24258
2021-07-01,2021,7,Jul 2021,Q3,FY21/22,24259
2021-08-01,2021,8,Aug 2021,Q3,FY21/22,24260
2021-09-01,2021,9,Sep 2021,Q3,FY21/22,24261
2021-10-01,2021,10,Oct 2021,Q4,FY21/22,24262
2021-11-01,2021,11,Nov 2021,Q4,FY21/22,24263
