KPI_ID,Date,Numerator,Denominator
1.3,2019-05-01,6.695,
1.3,2019-06-01,6.695,
1.3,2019-07-01,6.695,
1.3,2019-08-01,6.695,
1.3,2019-09-01,6.695,
1.3,2019-10-01,6.695,
1.3,2019-11-01,6.695,
1.3,2019-12-01,6.695,
1.3,2020-01-01,7.195,
1.3,2020-02-01,7.195,
1.3,2020-03-01,7.095000000000001,
1.3,2020-04-01,7.095,
1.3,2020-05-01,7.095000000000001,
1.3,2020-06-01,6.143000000000001,
1.3,2020-07-01,6.345000000000001,
1.3,2020-08-01,6.345000000000001,
1.3,2020-09-01,6.345000000000001,
1.3,2020-10-01,6.345000000000001,
1.3,2020-11-01,6.282500000000001,
1.3,2020-12-01,6.4015,
1.3,2021-01-01,6.532500000000001,
1.3,2021-02-01,6.532500000000001,
1.3,2021-03-01,6.532500000000001,
1.3,2021-04-01,6.532500000000001,
1.3,2021-05-01,6.532500000000001,
1.3,2021-06-01,6,
1.3,2021-07-01,6,
1.3,2021-08-01,6,
1.3,2021-09-01,6,
1.3,2021-10-01,6,
1.3,2021-11-01,6,
1.3,2021-12-01,6,
1.3,2022-01-01,6.75,
1.3,2022-02-01,6.75,
1.3,2022-03-01,6.75,
1.3,2022-04-01,6.75,
1.3,2022-05-01,6.75,
1.3,2022-06-01,6.75,
1.3,2022-07-01,6.75,
1.3,2022-08-01,6.75,
1.3,2022-09-01,6.75,
1.3,2022-10-01,6.25,
1.3,2022-11-01,5.75,
1.3,2022-12-01,5.75,
1.3,2023-01-01,5.75,
1.3,2023-02-01,5.75,
1.3,2023-03-01,5.88,
1.3,2023-04-01,5.88,
1.3,2023-05-01,5.326184913217623,
1.3,2023-06-01,5.326184913217623,
1.3,2023-07-01,5.326184913217623,
1.3,2023-08-01,5.326184913217623,
1.3,2023-09-01,5.326184913217623,
1.3,2023-10-01,4.82618491321762,
1.3,2023-11-01,4.82618491321762,
1.3,2023-12-01,4.82618491321762,
1.3,2024-01-01,4.82618491321762,
1.3,2024-02-01,4.82618491321762,
1.3,2024-03-01,4.82618491321762,
